,Eigenvalues Squared of Minima,Minima Found,Other Info,Parameters
0,0,0,Time Taken,"[-2928.029187316628, 4885.585052992552, -6700.037466371648, 3.6085887056512913, 0.5478203623630244, 1.4911263689218504, -10.324495053546041, -7.794762727424099, 10.47060362349156, -2.1292909674649483, 0.6107225784328225, -5.343895420586684, 63549.7065919124, -121246.20169160915, -323985.9006144267]"
1,0,0,26076.593852996826,"[7655.205559957263, 5147.308662873262, -7663.204562840756, 5.3500002942422595, 1.294792047586861, 0.539511082296961, -11.184687281556734, -3.6711987619488626, 9.978966827551186, 10.76446023110337, -3.577547479520076, 5.492841845714224, -126776.452705946, 48800.24460385632, -186381.9866884843]"
2,"[array([710812.35974252, 321400.02582617, 416269.01269277])]","[array([-104.86581,  -95.6927 , -123.10745])]",,"[-8271.026056483186, -2151.73604269119, 1169.8756497110644, 3.199631295921589, 3.6291884215687844, 3.1722882591143455, -8.15837436226494, 7.02368946565776, 8.12730285723056, 10.510151592371475, -7.0356931016136315, -9.316276992714398, -52542.699445691294, -101839.85907576646, -99127.42257946037]"
3,0,0,,"[8269.759504163721, 8781.154621126552, -1152.7751588369065, 3.5617255920335933, 1.1453511788705186, 1.353708386844193, 12.491756254497997, -7.159098082694891, 10.82952113187769, 1.30148076322992, -6.922649949459183, 6.913810461234906, 119120.34902324731, 58840.447759729985, -189848.43626454254]"
4,0,0,,"[-5873.473119125412, 5062.601414630002, -9843.31098873565, 2.530200538240879, 0.901972220905333, 1.2059484647262917, -1.4314102494821377, -1.8293610313095208, -4.2232592141923035, -0.6943603463913757, -9.657912809487918, 2.5571742515405838, 107419.69172389663, -14626.467306990322, -220102.72862657218]"
5,"[array([552753.95854898, 231781.27888258, 393207.35551284]), array([552753.95854898, 231781.27888258, 393207.35551284])]","[array([-66.66702,  78.4828 , -83.69289]), array([ 66.66702, -78.4828 ,  83.69289])]",,"[909.2941514780177, 3070.4729595211757, -5722.612020010353, 5.700299567756867, 1.7879211890530922, 2.7349828910430416, 1.144051080649664, 4.356370876656847, 6.47400020517536, 10.287582730375114, 2.4364149190798354, -2.678303312572808, 125255.69494924339, 120301.55921957002, -116352.20758833154]"
6,0,0,,"[3329.1127557990603, 6135.258479457198, -5282.636111499355, 1.9579419144006667, 4.42208294490258, 4.243804859363396, -10.894535056387035, -7.933284598502625, 9.90468250143109, -5.386372682798077, -9.668037381617099, -8.4621645631411, 120768.39785916317, -40398.75057220363, -163073.0578455099]"
7,0,0,,"[-3858.16063275928, 9274.551656925985, 6213.510639726983, 1.747554615670437, 2.310956164710391, 1.7334326912358984, 3.6723443827192916, -5.502954427185237, 4.678999537494212, -11.180043576877615, -9.2663674677022, -12.007186334616529, -83972.47426334808, 33703.897088418016, -325865.2073359649]"
8,"[array([718605.96112325, 235689.67253861, 455085.19034929]), array([718605.96112325, 235689.67253861, 455085.19034929])]","[array([-85.88005,  17.62831, -96.58461]), array([ 85.88005, -17.62831,  96.58461])]",,"[-5971.6925788491835, 8766.700887095765, 6690.463207083907, 5.566650773845639, 4.044147613772496, 4.696566022280774, 5.896721439447756, 6.415113084568182, -2.2351253378386797, 8.180875272546203, 7.351872211422251, -0.3680123971734073, -28245.13144305523, 107612.6285122915, -126393.71399566444]"
9,0,0,,"[-8053.314654892208, -2262.7385263623264, 1275.1082571824954, 4.947502500690893, 0.6182196904541161, 3.284444909302824, 6.667177912642501, -3.9057544128724313, 10.491659214673682, 11.075095117250441, -3.067297257330157, -9.037304923192142, 143660.16103135067, 25478.790050588228, -72667.06593329413]"
10,"[array([ 651435.64724201, 7292408.60963321, 5386657.82267738]), array([ 651435.64724201, 7292408.60963321, 5386657.82267738])]","[array([-395.49793,   -8.74294, -327.52158]), array([395.49793,   8.74294, 327.52158])]",,"[8180.9360572835685, 4481.291713490458, 7165.092030488595, 2.3792017404030834, 2.591539700398528, 5.0325506916341896, 6.088232856606314, 7.205620730226109, -1.2610829605657585, 2.8395693360361616, 4.914741741198863, -4.37555729119115, -88635.37970436488, -36719.524263046624, -316812.50120702194]"
11,"[array([1681464.69878548,  506182.85469912,  132487.47154602]), array([664562.74655943,  63338.55763349, 237454.39105394]), array([664562.74655943,  63338.55763349, 237454.39105394]), array([1681464.69878548,  506182.85469912,  132487.47154602])]","[array([-174.82935,  258.07378, -161.65634]), array([-116.17589,  223.6438 ,   87.07755]), array([ 116.17589, -223.6438 ,  -87.07755]), array([ 174.82935, -258.07378,  161.65634])]",,"[-6859.816918228193, -3897.498748480757, -3602.1877485902623, 4.470349254206248, 0.41967846251532015, 3.3093091867600037, 2.1995580843338463, 4.847795647225526, -6.679725213751215, -3.1639761072888533, -5.266285351711948, 2.6549648182638084, 88755.58077366883, -34089.860957066645, -97802.04404423264]"
12,0,0,,"[2108.4604690743818, 1680.9755023394628, 3205.5456680838943, 2.3426266014433685, 0.9407180398071144, 1.6241381036121625, -10.136779199791789, -0.21573796087201558, 6.4059231186700405, -9.181529852970991, 4.9557037942273645, -11.59751412323369, 108966.1747727606, -125928.09014715807, -300835.96682566183]"
