,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
0,"[-9379.570196627377, -4051.7482896152624, -5747.393924840876, 4.694502054878369, 3.0714229674643185, 3.596306924746071, 12.332697334022122, 6.404901566471775, -7.0056858320848345, 2.447187719738613, -11.966345308632999, -5.17203472682454, -919.7328364625864, 45650.54508449347, -280088.78366387193]",0,0,Time Taken
1,"[4887.477192742308, -5997.103824011121, 8461.461601405634, 1.4513467601701726, 5.407023924118381, 5.627568753309171, -8.851051817630495, -3.807071932816905, 5.392983602662374, 7.522142516878269, -7.2520869808038935, -11.448375540594803, -16449.849678964878, -78851.00244615569, -342181.354595708]",0,0,4953.16689324379
2,"[579.227728441072, -2065.262502372556, 5305.255529361468, 4.12001907253966, 2.9400046262903623, 0.61059320364566, -5.464425030950152, -4.482382241556254, 5.691793410534299, 0.09245603950518344, -5.933887663468364, -11.766990592262674, -3887.35741956337, 56419.54313005207, -203827.7403421011]",0,0,
3,"[-8420.336923719493, 7471.7907725376135, -5155.328465145004, 0.23595467209501508, 5.6406320994542485, 5.030379980237993, 5.752879054507503, 3.197459558974753, -7.032147299876814, 5.685295904420318, -12.45637217770159, -5.312368156635448, 104194.73774747824, 33980.18014019058, -220944.88864903827]",0,0,
4,"[663.6786548478412, 1136.161084690808, -4536.093771476233, 4.3160375215509275, 2.146346891475848, 0.37936458958358277, 2.7416954154956645, 11.88228626073849, 7.632705383686099, -9.59594238318873, -2.847088996614106, 4.765522370422218, 77058.30332461526, 78532.6621230249, -218676.90257733007]",0,0,
5,"[-916.3066095581435, 8256.337537480264, -1396.5614924650345, 3.9672514697025663, 3.364155952139942, 1.8704495907757002, 11.534666229787597, 6.297281466185517, 7.370198121812466, -1.2846271576223476, -7.554224053468759, -6.8124843948159155, 13396.653984698904, 19707.325478999468, -146815.10326901093]","[array([ -98.55149,   24.25013, -121.64913]), array([ 98.55149, -24.25013, 121.64913])]","[array([579758.6667593 , 278252.82265044, 148198.85367795]), array([579758.6667593 , 278252.82265044, 148198.85367795])]",
6,"[5353.882844003816, -5756.810888025132, 5394.08278779293, 3.904336330977767, 0.771376312166271, 3.547338968358326, 9.67681032781472, 11.769129284843128, 11.414388371123756, -4.766176603615428, -9.048760784307186, -5.630641920751833, 43168.43469637545, -139432.90097733773, -294147.79770436697]","[array([ -95.477  ,  -64.94482, -117.92751])]","[array([153699.92570406, 641775.20958835, 748552.34338344])]",
7,"[-1551.170356830742, 2296.209290209732, 8105.345748836404, 1.0566556028565048, 0.2958693291822839, 1.9250526639505947, -7.03639326234269, -1.376907505476714, 1.427267649376562, -8.48080646082986, 2.870201073544699, -10.111996783484852, 91944.92564210703, 61284.99900172185, -335811.8011933452]",0,0,
8,"[-37.294276877191805, 1448.7304194427306, -4584.8186230419215, 4.385350999399927, 4.271309682731471, 4.306034542541552, -5.129638988670093, 4.487709653958278, 0.8529261346610362, 5.781545801337064, 7.698438562042007, 5.159745650108981, 59718.992712463514, 95673.53683965656, -10498.729294608464]","[array([-55.17855,  64.43165, -38.95758]), array([ 55.17855, -64.43165,  38.95758])]","[array([131387.6209548 , 250391.65211146, 278414.87226193]), array([131387.6209548 , 250391.65211146, 278414.87226193])]",
9,"[1249.2285990825148, 2903.6356059875143, 4565.928801343271, 1.1244085938637913, 3.778686250938909, 1.2312661691868978, -8.017075520629508, 8.426281322620454, -7.641270227397291, 6.437012361612229, 6.108806381221086, 3.740192195360425, 103408.65941720203, 71636.60177352445, -140224.60525629632]",0,0,
10,"[326.6826645897472, 862.731285987129, -9374.265070315781, 3.3475244823937924, 0.5691747189331151, 3.9792904279292802, -11.836015312546891, 11.07303766131011, 3.307492637233061, 7.185372831734192, -1.080920323668563, 3.9777202754401557, -110503.50334848693, -116644.91538025963, -252898.81758757675]",0,0,
11,"[-9713.749373405022, -5547.19982642756, -5062.262819152319, 0.20928421198351388, 3.3180226629296805, 0.8103706765352167, -8.586327822862613, 11.21143176304739, 7.543246818160162, -5.404847128653306, 5.249712520311153, -1.1521373714738026, 16233.543037157506, -72835.0655582504, -32685.62630624452]",0,0,
12,"[5207.957344276885, 7616.034577092818, 6080.827068630617, 4.08921512703835, 2.0283494562856124, 1.9074049848142425, 9.51963576344971, 1.7751925476692314, 0.42776218078977557, -8.607512744213286, 7.625323485987533, 4.285896200647635, 76040.21687480406, 68044.76865433765, -303478.0358230854]","[array([-115.94063,   50.0952 , -131.45615]), array([115.94063, -50.0952 , 131.45615])]","[array([831093.87176723, 661476.67640652, 276668.22848699]), array([831093.87176723, 661476.67640652, 276668.22848699])]",
13,"[8728.276749948669, 8487.210039704092, 2767.01728261314, 2.0579259985588982, 2.9361556216543976, 5.540479922272045, -11.452099792203748, -3.36238519863904, 0.22826328258141437, 9.855278195650683, 2.869671124471086, -0.038215138038323104, 45373.95531809656, -50362.98829006878, -134151.12565303524]","[array([-138.71245,   95.05238,  -86.69128]), array([-117.30398,  -73.78943,  -96.63738]), array([138.71245, -95.05238,  86.69128])]","[array([621938.21956258, 368346.54134909, 166471.56969512]), array([666118.53897982, 269825.84095589, 109518.50818273]), array([621938.21956258, 368346.54134909, 166471.56969512])]",
14,"[613.681547971597, -7892.4660758769405, -1058.2116322929687, 2.8956382559942293, 2.689802632710513, 5.070674661660558, 0.2674107225153648, 4.1738906128594575, -1.2087511959784392, -4.560978826609, -11.787941840351856, -6.7088277655215665, -67801.8370196657, -34424.91474168826, -268794.3673309055]",0,0,
15,"[2775.401858957426, 1519.003243031193, -4177.318611988215, 4.852365814454085, 3.7488037045182265, 1.5425789748044083, -5.027109359647469, 8.158426559041736, 9.68208366756831, -4.229395155916862, -10.462440184033326, 4.976761802083175, 101463.60514084986, -109159.94782428115, -127188.15102890128]","[array([ -16.28063, -129.67167, -161.84021])]","[array([201459.9427367 , 471292.01956967, 845004.6540639 ])]",
16,"[-7938.611363165246, 1842.717236340075, -9274.230888042357, 5.350417548633118, 5.2560702030067805, 4.752858137999989, 0.8597350315624315, 9.363717274490607, -5.210996218727645, 11.984178223595613, -11.312340010321783, -11.12632610886981, -11594.367468824785, 28556.846783625864, -141705.1650256494]",0,0,
