,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
0,"[-4474.043493024457, 9594.600139428581, 880.2821811994927, 0.5854411437301485, 2.584225319594807, 1.763199998937541, 5.078212646087007, 4.360076614702445, 0.033605067931999244, 10.109528136713259, -9.129426551191836, -9.222354807923299, -125825.87680703714, 55477.102010671195, -233056.07003846052]",0,0,Time Taken
1,"[6952.240895186496, -4178.318394457525, -4880.040909118464, 2.146703534762619, 5.5536550651038725, 5.099896412119473, 0.20293844141575512, 5.061562451525123, -4.394868545825265, 8.682075793046774, -11.840501329955108, -9.57213214866961, 112496.9085274025, -90108.59815261663, -111872.24687728804]",0,0,4809.202140331268
2,"[5843.1379173370715, 5811.620250527791, -5142.770919716726, 2.0797046800781733, 2.1910295473207477, 3.3794235552911025, 0.4167203485897488, 5.9496694684730755, -7.711561722856398, -6.140287937826112, -4.39164104924822, -2.5573247700530057, 135366.6173359389, -138838.20763773576, -138575.99314966414]",0,0,
3,"[-3809.7157183756144, -4276.885843389964, 9030.574374976411, 3.7290611518916568, 3.2006155779791814, 4.514658108820246, -4.7267478110234435, 9.779211585645612, 3.8012530147866244, 0.4981910921593915, -6.247888567135424, -12.008199942596757, -48246.76789393443, 71906.31339500923, -96434.24312781793]","[array([-84.51734, -94.82551,  50.01513]), array([ 84.51734,  94.82551, -50.01513])]","[array([452508.0615465 , 103051.51505702,  29487.757859  ]), array([452508.0615465 , 103051.51505702,  29487.757859  ])]",
4,"[6132.990899112212, -7929.353420951988, 5293.3013185064265, 4.179917521874611, 4.67819496715046, 5.574667199577617, -3.280960101623153, 6.4449433958280675, 5.0133909353521044, 9.717382526875582, -2.2654417491398124, 4.14475074217977, 132843.73716100375, 67285.63063051537, -21552.537199342274]","[array([-65.77198,  67.40456, -41.20199]), array([ 65.77198, -67.40456,  41.20199])]","[array([170790.24795501, 315302.79260818, 369190.08793648]), array([170790.24795501, 315302.79260818, 369190.08793648])]",
5,"[6464.394480115872, -6761.062292456261, -9987.00898924065, 5.081528244362662, 2.865950373831906, 1.9260107666175712, 11.488418234534947, -0.711758468077246, 1.425755160202801, -6.188457286279842, 2.5040907349156925, -7.515727188307352, 107645.52730165815, -114340.50961457321, -188226.95048375262]","[array([-651.93622,   -3.53565, -829.82483]), array([651.93622,   3.53565, 829.82483])]","[array([27926637.08811751,   350408.64689354,  6986087.99392614]), array([27926637.08811751,   350408.64689354,  6986087.99392614])]",
6,"[-3478.4992679985935, 100.89171776263902, -1558.6690723759111, 3.8935439606629507, 1.1020523042108912, 3.2882426101452795, 2.3743725947804393, -0.0570311702179529, 9.025787748399768, -2.4848389352510907, 3.1533955623960086, -7.340782366721613, -16266.872537741438, -80046.7813228135, -268954.2454572714]","[array([-122.10437,  -91.34011, -126.82586])]","[array([917530.40989137, 585562.66048705, 198998.50231426])]",
7,"[214.1636856253608, 2921.603506302077, 6094.80675150694, 2.4785339014222623, 2.2421578059237794, 1.9690631032673842, 6.694153154597419, 1.2854870374053462, -1.9365911211641578, 12.148091540277534, -7.568449169263983, 0.6401994055567677, -138186.2511407641, 124177.34239338204, -380258.65783158405]","[array([-241.24036,   -1.05908, -256.8723 ]), array([241.24036,   1.05908, 256.8723 ])]","[array([2216506.83165753,  771259.49339763, 1325858.47532841]), array([2216506.83165753,  771259.49339763, 1325858.47532841])]",
8,"[-3516.7126979481036, 1878.1852950231096, 5878.482241225933, 2.3415589014214624, 4.601767505948928, 1.2038348071562308, -2.9157911338782725, 2.829096141880779, -4.543115113733142, 4.0885272019078975, -3.682475679921378, -11.224326101055233, -73451.40618902196, -94725.07939884902, -94809.11382735643]",0,0,
9,"[8965.580045943516, -9915.086749754922, 7644.2688586135155, 5.8268773794091056, 2.4269872072443435, 1.7624988701419324, 9.561806125302223, 11.155222526689986, 3.5937190209687415, 10.606489632185351, 7.187785181674034, 5.981342385174617, -118653.70527077426, 69611.42391935445, -102905.06192904332]","[array([-54.07657,  -5.12336, -69.11625])]","[array([ 69774.08755248, 261277.03726351, 404540.86809518])]",
